// X    Y    Z  U   V

NUMPOLLIES 36

// Floor 1
-3.0  0.0 -3.0  0.0 0.0
-3.0  0.0  3.0  0.0 1.0
 3.0  0.0  3.0  1.0 1.0
-3.0  0.0 -3.0  0.0 0.0
 3.0  0.0 -3.0  1.0 0.0
 3.0  0.0  3.0  1.0 1.0

// Ceiling 1
-3.0  1.0 -3.0  0.0 0.0
-3.0  1.0  3.0  0.0 1.0
 3.0  1.0  3.0  1.0 1.0
-3.0  1.0 -3.0  0.0 0.0
 3.0  1.0 -3.0  1.0 0.0
 3.0  1.0  3.0  1.0 1.0

// A -X -Z
-2.0  1.0 -2.0  2.0 0.0
-2.0  0.0 -2.0  2.0 1.0
-0.5  0.0 -2.0  0.5 1.0
-2.0  1.0 -2.0  2.0 0.0
-0.5  1.0 -2.0  0.5 0.0
-0.5  0.0 -2.0  0.5 1.0

// A  X -Z
 2.0  1.0 -2.0  2.0 0.0
 2.0  0.0 -2.0  2.0 1.0
 0.5  0.0 -2.0  0.5 1.0
 2.0  1.0 -2.0  2.0 0.0
 0.5  1.0 -2.0  0.5 0.0
 0.5  0.0 -2.0  0.5 1.0

// A -X  Z
-2.0  1.0  2.0  2.0 0.0
-2.0  0.0  2.0  2.0 1.0
-0.5  0.0  2.0  0.5 1.0
-2.0  1.0  2.0  2.0 0.0
-0.5  1.0  2.0  0.5 0.0
-0.5  0.0  2.0  0.5 1.0

// A  X  Z
 2.0  1.0  2.0  2.0 0.0
 2.0  0.0  2.0  2.0 1.0
 0.5  0.0  2.0  0.5 1.0
 2.0  1.0  2.0  2.0 0.0
 0.5  1.0  2.0  0.5 0.0
 0.5  0.0  2.0  0.5 1.0

// B -X -Z
-2.0  1.0 -2.0  0.0 0.0
-2.0  0.0 -2.0  0.0 1.0
-2.0  0.0 -0.5  1.5 1.0
-2.0  1.0 -2.0  0.0 0.0
-2.0  1.0 -0.5  1.5 0.0
-2.0  0.0 -0.5  1.5 1.0

// B  X -Z
 2.0  1.0 -2.0  0.0 0.0
 2.0  0.0 -2.0  0.0 1.0
 2.0  0.0 -0.5  1.5 1.0
 2.0  1.0 -2.0  0.0 0.0
 2.0  1.0 -0.5  1.5 0.0
 2.0  0.0 -0.5  1.5 1.0

// B -X  Z
-2.0  1.0  2.0  2.0 0.0
-2.0  0.0  2.0  2.0 1.0
-2.0  0.0  0.5  0.5 1.0
-2.0  1.0  2.0  2.0 0.0
-2.0  1.0  0.5  0.5 0.0
-2.0  0.0  0.5  0.5 1.0

// B  X  Z
 2.0  1.0  2.0  2.0 0.0
 2.0  0.0  2.0  2.0 1.0
 2.0  0.0  0.5  0.5 1.0
 2.0  1.0  2.0  2.0 0.0
 2.0  1.0  0.5  0.5 0.0
 2.0  0.0  0.5  0.5 1.0

// Hallway A -X -Z
-0.5  1.0 -3.0  0.0 0.0
-0.5  0.0 -3.0  0.0 1.0
-0.5  0.0 -2.0  1.0 1.0
-0.5  1.0 -3.0  0.0 0.0
-0.5  1.0 -2.0  1.0 0.0
-0.5  0.0 -2.0  1.0 1.0

// Hallway A  X -Z
 0.5  1.0 -3.0  0.0 0.0
 0.5  0.0 -3.0  0.0 1.0
 0.5  0.0 -2.0  1.0 1.0
 0.5  1.0 -3.0  0.0 0.0
 0.5  1.0 -2.0  1.0 0.0
 0.5  0.0 -2.0  1.0 1.0

// Hallway A -X  Z
-0.5  1.0  3.0  0.0 0.0
-0.5  0.0  3.0  0.0 1.0
-0.5  0.0  2.0  1.0 1.0
-0.5  1.0  3.0  0.0 0.0
-0.5  1.0  2.0  1.0 0.0
-0.5  0.0  2.0  1.0 1.0

// Hallway A  X  Z
 0.5  1.0  3.0  0.0 0.0
 0.5  0.0  3.0  0.0 1.0
 0.5  0.0  2.0  1.0 1.0
 0.5  1.0  3.0  0.0 0.0
 0.5  1.0  2.0  1.0 0.0
 0.5  0.0  2.0  1.0 1.0

// Hallway B -X -Z
-3.0  1.0 -0.5  1.0 0.0
-3.0  0.0 -0.5  1.0 1.0
-2.0  0.0 -0.5  0.0 1.0
-3.0  1.0 -0.5  1.0 0.0
-2.0  1.0 -0.5  0.0 0.0
-2.0  0.0 -0.5  0.0 1.0

// Hallway B  X -Z
 3.0  1.0 -0.5  1.0 0.0
 3.0  0.0 -0.5  1.0 1.0
 2.0  0.0 -0.5  0.0 1.0
 3.0  1.0 -0.5  1.0 0.0
 2.0  1.0 -0.5  0.0 0.0
 2.0  0.0 -0.5  0.0 1.0

// Hallway B -X  Z
-3.0  1.0  0.5  1.0 0.0
-3.0  0.0  0.5  1.0 1.0
-2.0  0.0  0.5  0.0 1.0
-3.0  1.0  0.5  1.0 0.0
-2.0  1.0  0.5  0.0 0.0
-2.0  0.0  0.5  0.0 1.0

// Hallway B  X  Z
 3.0  1.0  0.5  1.0 0.0
 3.0  0.0  0.5  1.0 1.0
 2.0  0.0  0.5  0.0 1.0
 3.0  1.0  0.5  1.0 0.0
 2.0  1.0  0.5  0.0 0.0
 2.0  0.0  0.5  0.0 1.0
